District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
East Hartford School District,Stevens Alternate High School,Public Schools,0436411,40 Butternut Dr.,East Hartford,06118,860-622-5999,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2005-07-01T00:00:00.000,0,"40 Butternut Dr.
East Hartford, CT 06118
(41.755404, -72.596088)"
New London School District,Science and Technology Magnet School of Southeastern Connecticut,Public Schools,0951311,490 Jefferson Ave,New London,06320,860-437-6496,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2016-09-01T00:00:00.000,1,"490 Jefferson Ave
New London, CT 06320
(41.360133, -72.121228)"
Hartford School District,Classical Magnet School,Public Schools,0646411,85 Woodland Street,Hartford,06105,860-695-9100,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1995-07-01T00:00:00.000,1,"85 Woodland Street
Hartford, CT 06105
(41.772919, -72.700441)"
West Haven School District,Carrigan 5/6 Intermediate School,Public Schools,1565311,2 Tetlow St.,West Haven,06516-1819,203-937-4390,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"2 Tetlow St.
West Haven, CT 06516-1819
(41.290806, -72.971863)"
Granby School District,Granby Memorial High School,Public Schools,0566111,315 Salmon Brook St.,Granby,06035-1804,860-844-3014,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"315 Salmon Brook St.
Granby, CT 06035-1804
(41.960786, -72.790539)"
Clinton School District,Jared Eliot School,Public Schools,0275111,69 Fairy Dell Rd.,Clinton,06413-2403,860-664-6503,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"69 Fairy Dell Rd.
Clinton, CT 06413-2403
(41.297472, -72.518964)"
Regional School District 17,Killingworth Elementary School,Regional Schools,2170312,340 Route 81,Higganum,06419-1299,860-663-1121,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"340 Route 81
Higganum, CT 06419-1299
(41.474062, -72.556065)"
New Haven School District,John C. Daniels,Public Schools,0931311,569 Congress Ave.,New Haven,06519,475-220-3600,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007-07-01T00:00:00.000,1,"569 Congress Ave.
New Haven, CT 06519
(41.300527, -72.938182)"
Westport School District,Coleytown Middle School,Public Schools,1585311,255 North Ave.,Westport,06880-1531,203-341-1610,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"255 North Ave.
Westport, CT 06880-1531
(41.178828, -73.34977)"
Glastonbury School District,Nayaug Elementary School,Public Schools,0540911,222 Old Maide Ln.,South Glastonbury,06073,860-652-4949,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2007-08-28T00:00:00.000,0,"222 Old Maide Ln.
South Glastonbury, CT 06073
(41.638898, -72.615859)"
East Haven School District,Momauguin School,Public Schools,0440711,99 Cosey Beach Rd.,East Haven,06512-1449,203-468-3321,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"99 Cosey Beach Rd.
East Haven, CT 06512-1449
(41.248755, -72.872504)"
Ansonia School District,Mead School,Public Schools,0020311,75 Ford St.,Ansonia,06401-2699,203-736-5090,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"75 Ford St.
Ansonia, CT 06401-2699
(41.336769, -73.052247)"
Fairfield School District,Burr Elementary School,Public Schools,0510211,1960 Burr St.,Fairfield,06824,203-255-7385,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2005-07-01T00:00:00.000,0,"1960 Burr St.
Fairfield, CT 06824
(41.19756, -73.288819)"
Stratford School District,Harry B. Flood Middle School,Public Schools,1385311,490 Chapel St.,Stratford,06614-1690,203-385-4280,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"490 Chapel St.
Stratford, CT 06614-1690
(41.237583, -73.119781)"
Regional School District 15,Rochambeau Middle School,Regional Schools,2155112,100 Peter Rd.,Southbury,06488,203-264-2711,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"100 Peter Rd.
Southbury, CT 06488
(41.468122, -73.222258)"
Monroe School District,Fawn Hollow Elementary School,Public Schools,0850511,375 Fan Hill Rd.,Monroe,06468,203-452-2923,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"375 Fan Hill Rd.
Monroe, CT 06468
(41.346923, -73.231287)"
Madison School District,Island Avenue Elementary School,Public Schools,0760211,20 Island Ave.,Madison,06443-3013,203-245-6450,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"20 Island Ave.
Madison, CT 06443-3013
(41.277315, -72.600555)"
Litchfield School District,Litchfield School District,Public School Districts,0740011,"35 Plumb Hill Road, P.O. Box 110",Litchfield,06759,860-567-7500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"35 Plumb Hill Road, P.O. Box 110
Litchfield, CT 06759
(41.740259, -73.205766)"
Easton School District,Helen Keller Middle School,Public Schools,0465111,360 Sport Hill Rd.,Easton,06612-1714,203-268-8651,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"360 Sport Hill Rd.
Easton, CT 06612-1714
(41.243233, -73.27334)"
Bridgeport School District,Paul Laurence Dunbar School,Public Schools,0154111,445 Union Ave.,Bridgeport,06607-1823,203-576-7194,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"445 Union Ave.
Bridgeport, CT 06607-1823
(41.178003, -73.164438)"
Norwalk School District,Rowayton School,Public Schools,1031311,1 Roton Avenue,Norwalk,06853,203-899-2940,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1 Roton Avenue
Norwalk, CT 06853
(41.06656, -73.439561)"
Waterbury School District,Hopeville School,Public Schools,1511311,2 Cypress St.,Waterbury,06706-2101,203-574-8173,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"2 Cypress St.
Waterbury, CT 06706-2101
(41.533501, -73.033827)"
Danbury School District,Great Plain School,Public Schools,0341111,10 Stadley Rough Rd.,Danbury,06811-4023,203-797-4749,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"10 Stadley Rough Rd.
Danbury, CT 06811-4023
(41.420184, -73.43313)"
Bloomfield School District,Wintonbury Early Childhood Magnet School,Public Schools,0110811,44 Brown St.,Bloomfield,06002,860-769-5510,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2009-07-01T00:00:00.000,1,"44 Brown St.
Bloomfield, CT 06002
(41.838582, -72.746463)"
Norwalk School District,Silvermine Elementary School,Public Schools,1032311,157 Perry Avenue,Norwalk,06850-1100,203-899-2950,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"157 Perry Avenue
Norwalk, CT 06850-1100
(41.147557, -73.439965)"
Meriden School District,Washington Middle School,Public Schools,0805411,1225 North Broad St.,Meriden,06450-2479,203-235-6606,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"1225 North Broad St.
Meriden, CT 06450-2479
(41.551861, -72.780349)"
Regional School District 10,Harwinton Consolidated School,Regional Schools,2100312,115 Litchfield Rd.,Hawrinton,06791-2204,860-485-9029,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"115 Litchfield Rd.
Hawrinton, CT 06791-2204
(41.769576, -73.070573)"
Putnam School District,Putnam High School,Public Schools,1166111,152 Woodstock Ave.,Putnam,06260-1440,860-963-6905,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"152 Woodstock Ave.
Putnam, CT 06260-1440
(41.923464, -71.91579)"
Windsor School District,Sage Park Middle School,Public Schools,1645311,25 Sage Park Rd.,Windsor,06095-3328,860-687-2030,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"25 Sage Park Rd.
Windsor, CT 06095-3328
(41.844342, -72.658519)"
Milford School District,Meadowside School,Public Schools,0840711,80 Seeman's Ln.,Milford,06460-4337,203-783-3555,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"80 Seeman's Ln.
Milford, CT 06460-4337
(41.211455, -73.074631)"
Norwich School District,Kelly STEAM Magnet Middle School,Public Schools,1045111,25 Mahan Dr.,Norwich,06360-2425,860-823-4211,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"25 Mahan Dr.
Norwich, CT 06360-2425
(41.545634, -72.078165)"
Ledyard School District,Gallup Hill School,Public Schools,0720411,169 Gallup Hill Rd.,Ledyard,06339-1830,860-536-9477,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"169 Gallup Hill Rd.
Ledyard, CT 06339-1830
(41.42688, -71.976349)"
Trailblazers Academy District,Trailblazers Academy,Public Charter Schools,2785113,83 Lockwood Ave,Stamford,06902,203-977-5690,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1999-07-01T00:00:00.000,0,"83 Lockwood Ave
Stamford, CT 06902
(41.053289, -73.521496)"
Department of Mental Health and Addiction Services,Capitol Region Mental Health Center,State Agency Facilities,3370615,500 Vine St.,Hartford,06112,860-262-7009,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2007-07-01T00:00:00.000,0,"500 Vine St.
Hartford, CT 06112
(41.795965, -72.687694)"
Unified School District #2,Children's Place School,State Agency Facilities,3470115,36 Gardner St.,East Windsor,06088,860-292-4048,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"36 Gardner St.
East Windsor, CT 06088
(41.930742, -72.615131)"
New Haven School District,Hill Regional Career High School,Public Schools,0936311,140 Legion Ave.,New Haven,06519,475-220-5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,1,"140 Legion Ave.
New Haven, CT 06519
(41.306105, -72.940115)"
Danbury School District,Westside Middle School Academy,Public Schools,0340311,1 School Ridge Road,Danbury,06811,203-797-4713,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2014-08-25T00:00:00.000,,"1 School Ridge Road
Danbury, CT 06811
(41.387806, -73.480446)"
New Britain School District,DiLoreto Elementary & Middle School,Public Schools,0891111,732 Slater Rd.,New Britain,06053-2239,860-223-2885,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"732 Slater Rd.
New Britain, CT 06053-2239
(41.68696, -72.807149)"
Waterbury School District,Waterbury Career Academy,Public Schools,1516711,175 Birch Street,Waterbury,06704,203-574-8000,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2013-08-27T00:00:00.000,0,"175 Birch Street
Waterbury, CT 06704
(41.55783, -73.021116)"
South Windsor School District,Eli Terry School,Public Schools,1320711,569 Griffin Rd.,South Windsor,06074-1382,860-648-5020,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"569 Griffin Rd.
South Windsor, CT 06074-1382
(41.86599, -72.551759)"
Old Saybrook School District,Old Saybrook Senior High School,Public Schools,1066111,1111 Boston Post Rd.,Old Saybrook,06475-4403,860-395-3175,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"1111 Boston Post Rd.
Old Saybrook, CT 06475-4403
(41.287573, -72.393684)"
Norwalk School District,Roton Middle School,Public Schools,1035511,201 Highland Avenue,Norwalk,06854,203-899-2930,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"201 Highland Avenue
Norwalk, CT 06854
(41.077444, -73.43327)"
New Fairfield School District,New Fairfield Middle School,Public Schools,0915211,56 Gillotti Rd.,New Fairfield,06812-2525,203-312-5885,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1989-07-01T00:00:00.000,0,"56 Gillotti Rd.
New Fairfield, CT 06812-2525
(41.45861, -73.503522)"
Waterbury School District,Walsh School,Public Schools,1512211,55 Dikeman Street,Waterbury,06704-3907,203-574-8164,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"55 Dikeman Street
Waterbury, CT 06704-3907
(41.558417, -73.03037)"
Hartford School District,Rawson School,Public Schools,0641711,260 Holcomb Street,Hartford,06112-1436,860-695-4840,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"260 Holcomb Street
Hartford, CT 06112-1436
(41.795753, -72.700253)"
Enfield School District,EPS PK STEAM Academy,Public Schools,0491011,117 Post Office Road,Enfield,06082,860-253-6549,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-03T00:00:00.000,,"117 Post Office Road
Enfield, CT 06082
(41.962069, -72.577606)"
Capitol Region Education Council,Academy of Aerospace and Engineering,Regional Education Service Center Schools,2415114,1101 Kennedy Road,Windsor,06095,860-757-6347,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2008-08-25T00:00:00.000,1,"1101 Kennedy Road
Windsor, CT 06095
(41.895929, -72.651989)"
Norwalk School District,Columbus Magnet School,Public Schools,1030311,46 Concord Street,Norwalk,06854-3699,203-899-2840,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"46 Concord Street
Norwalk, CT 06854-3699
(41.093442, -73.420406)"
East Hampton School District,East Hampton High School,Public Schools,0426111,15 North Maple St.,East Hampton,06424-1064,860-365-4030,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"15 North Maple St.
East Hampton, CT 06424-1064
(41.583508, -72.512314)"
Middletown School District,Middletown High School,Public Schools,0836211,200 LaRosa Lane,Middletown,06457,860-704-4500,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"200 LaRosa Lane
Middletown, CT 06457
(41.576455, -72.681682)"
Canterbury School District,Canterbury School District,Public School Districts,0220011,45 Westminster Road,Canterbury,06331,860-546-6950,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"45 Westminster Road
Canterbury, CT 06331
(41.697629, -71.97761)"
Stamford School District,Springdale School,Public Schools,1351111,1127 Hope St.,Stamford,06907,203-977-4575,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1127 Hope St.
Stamford, CT 06907
(41.09684, -73.51995)"
Regional School District 12,Regional School District 12,Regional School Districts,2120012,"11 A School Street, PO Box 386",Washington Depot,06794,860-868-6100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"11 A School Street, PO Box 386
Washington Depot, CT 06794
(41.63809, -73.318267)"
Seymour School District,Chatfield-LoPresti School,Public Schools,1240211,51 Skokorat St.,Seymour,06483,203-888-4640,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2012-09-05T00:00:00.000,0,"51 Skokorat St.
Seymour, CT 06483
(41.401956, -73.055486)"
New Milford School District,New Milford High School,Public Schools,0966111,388 Danbury Rd.,New Milford,06776,860-350-6647,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"388 Danbury Rd.
New Milford, CT 06776
(41.527206, -73.423475)"
Naugatuck School District,Maple Hill School,Public Schools,0880311,641 Maple Hill Rd.,Naugatuck,06770-3557,203-720-5236,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1989-07-01T00:00:00.000,0,"641 Maple Hill Rd.
Naugatuck, CT 06770-3557
(41.488785, -73.015082)"
Waterbury School District,North End Middle School,Public Schools,1515311,534 Bucks Hill Rd.,Waterbury,06704-1270,203-574-8097,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"534 Bucks Hill Rd.
Waterbury, CT 06704-1270
(41.605493, -73.03041)"
Guilford School District,A. W. Cox School,Public Schools,0600611,143 Three Mile Course,Guilford,06437-2522,203-453-5291,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"143 Three Mile Course
Guilford, CT 06437-2522
(41.285718, -72.695234)"
Cheshire School District,Chapman School,Public Schools,0250111,38 Country Club Rd.,Cheshire,06410-1630,203-272-3591,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"38 Country Club Rd.
Cheshire, CT 06410-1630
(41.519773, -72.895609)"
Area Cooperative Educational Services,Wintergreen Interdistrict  Magnet School,Regional Education Service Center Schools,2440314,670 Wintergreen Ave.,Hamden,06514,203-281-9668,0,1,1,1,1,1,1,1,1,1,0,0,0,0,2000-07-01T00:00:00.000,1,"670 Wintergreen Ave.
Hamden, CT 06514
(41.357175, -72.96281)"
Winchester School District,Winchester School District,Public School Districts,1620011,338 Main Street,Winsted,06098,860-379-0706,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"338 Main Street
Winsted, CT 06098
(41.921167, -73.068856)"
Hamden School District,Hamden Middle School,Public Schools,0625211,2623 Dixwell Ave.,Hamden,06518,203-407-3140,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"2623 Dixwell Ave.
Hamden, CT 06518
(41.381369, -72.91205)"
Shelton School District,Shelton School District,Public School Districts,1260011,"Po Box 846, 124 Meadow St",Shelton,06484,203-924-1023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,
New Hartford School District,Ann Antolini School,Public Schools,0920311,30 Antolini Road,New Hartford,06057-3326,860-489-4169,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"30 Antolini Road
New Hartford, CT 06057-3326
(41.827587, -73.015096)"
West Hartford School District,Webster Hill School,Public Schools,1551211,125 Webster Hill Blvd.,West Hartford,06117,860-521-0320,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"125 Webster Hill Blvd.
West Hartford, CT 06117
(41.743492, -72.74067)"
Mansfield School District,Annie E. Vinton School,Public Schools,0780411,306 Stafford Rd.,Mansfield Center,06250-1424,860-423-3086,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"306 Stafford Rd.
Mansfield Center, CT 06250-1424
(41.74755, -72.260565)"
Capital Preparatory Harbor School District,Capital Preparatory Harbor School Inc.,Public Charter Schools,2970113,777 Main Street,Bridgeport,06604,475-422-5900,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2015-08-24T00:00:00.000,,"777 Main Street
Bridgeport, CT 06604
(41.175364, -73.18844)"
Stamford School District,Scofield Middle School,Public Schools,1355711,641 Scofieldtown Rd.,Stamford,06903,203-977-2750,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1990-07-01T00:00:00.000,0,"641 Scofieldtown Rd.
Stamford, CT 06903
(41.136227, -73.558728)"
Stonington School District,Pawcatuck Middle School,Public Schools,1375111,40 Field St.,Pawcatuck,06359-2159,860-599-5696,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"40 Field St.
Pawcatuck, CT 06359-2159
(41.370914, -71.843511)"
Eastford School District,Eastford School District,Public School Districts,0390011,"12 Westford Road, Box 158",Eastford,06242,860-974-1130,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"12 Westford Road, Box 158
Eastford, CT 06242
(41.902412, -72.081749)"
Columbia School District,Horace W. Porter School,Public Schools,0300111,"3 Schoolhouse Road, P.O. Box 166",Columbia,06237-0166,860-228-9493,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"3 Schoolhouse Road, P.O. Box 166
Columbia, CT 06237-0166
(41.703206, -72.299823)"
Woodstock School District,Woodstock School District,Public School Districts,1690011,147 A Route 169,Woodstock,06281,860-928-7453,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"147 A Route 169
Woodstock, CT 06281
(41.92729, -71.956749)"
Somers School District,Somers High School,Public Schools,1296111,5 Vision Boulevard,Somers,06071,860-749-2270,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"5 Vision Boulevard
Somers, CT 06071
(41.733166, -72.561972)"
Branford School District,John B. Sliney School,Public Schools,0141611,23 Eades St.,Branford,06405-3628,203-481-5386,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"23 Eades St.
Branford, CT 06405-3628
(41.279138, -72.812269)"
New Britain School District,Chamberlain  Elementary School,Public Schools,0890311,120 Newington Ave.,New Britain,06051-2119,860-832-5691,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"120 Newington Ave.
New Britain, CT 06051-2119
(41.671569, -72.759645)"
Portland School District,Gildersleeve School,Public Schools,1130411,575 1/2 Main St.,Portland,06480-1103,860-342-0411,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"575 1/2 Main St.
Portland, CT 06480-1103
(41.591915, -72.623438)"
New Haven School District,Clinton Avenue School,Public Schools,0930611,293 Clinton Ave.,New Haven,06513,475-220-3300,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"293 Clinton Ave.
New Haven, CT 06513
(41.318625, -72.892733)"
Wethersfield School District,Emerson-Williams School,Public Schools,1590211,461 Wells Rd.,Wethersfield,06109-2867,860-571-8360,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"461 Wells Rd.
Wethersfield, CT 06109-2867
(41.702252, -72.679371)"
New Haven School District,Roberto Clemente Leadership Academy for Global Awareness,Public Schools,0934211,360 Columbus Avenue,New Haven,06519,475-220-7600,0,1,1,1,1,1,1,1,1,1,0,0,0,0,2003-07-01T00:00:00.000,0,"360 Columbus Avenue
New Haven, CT 06519
(41.297784, -72.935587)"
Suffield School District,McAlister Intermediate School,Public Schools,1390311,260 Mountain Road,Suffield,06078,860-668-3830,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2004-07-01T00:00:00.000,0,"260 Mountain Road
Suffield, CT 06078
(41.983716, -72.660266)"
Oxford School District,Oxford High School,Public Schools,1086011,61 Quaker Farms Rd.,Oxford,06478,203-888-2468,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2007-08-31T00:00:00.000,0,"61 Quaker Farms Rd.
Oxford, CT 06478
(41.385815, -73.133845)"
Bridgeport School District,Thomas Hooker School,Public Schools,0151311,138 Roger Williams Rd.,Bridgeport,06610-1398,203-576-7185,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"138 Roger Williams Rd.
Bridgeport, CT 06610-1398
(41.21666, -73.169914)"
North Haven School District,North Haven Middle School,Public Schools,1015211,55 Bailey Rd.,North Haven,06473-2652,203-239-1683,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"55 Bailey Rd.
North Haven, CT 06473-2652
(41.377062, -72.859679)"
Windham School District,Windham Center School,Public Schools,1630511,"45 North Rd., P.O. Box 138",Windham,06280-0138,860-465-2440,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"45 North Rd., P.O. Box 138
Windham, CT 06280-0138
(41.702012, -72.160477)"
